date,tv_spend,digital_spend,print_spend,radio_spend,price,promotion,competitor_activity,sales,week,month,quarter,year,total_spend,sales_to_spend_ratio
2023-01-01,31490.142459033697,23432.190029668604,21030.095372612097,14227.740360500136,51.55115197552252,0,5731.024726482589,42963.87728916517,1,1,1,2023,90180.16822181453,0.47642267847058895
2023-01-08,30802.218649134764,25738.783673834183,27668.296921728983,14693.545578987498,50.42049449741065,0,5267.798500369909,44639.74480959973,2,1,1,2023,98902.84482368543,0.45134945197157084
2023-01-15,34358.99611004838,30254.602713696775,20993.669309458386,15891.35868148642,51.787802960387985,1,7279.281374781009,49502.28127433325,3,1,1,2023,101498.62681468997,0.4877138029139203
2023-01-22,38148.022761369495,26689.106393727667,21939.943688408875,14393.269021650904,50.97744648948592,0,6329.528683898672,43964.460703201716,4,1,1,2023,101170.34186515695,0.43455878365814904
2023-01-29,33986.26982667302,27500.614630302403,21324.33151095871,15775.15306655717,53.268713172755135,0,6507.354080264428,43226.44426239948,5,1,1,2023,98586.3690344913,0.43846268693876256
2023-02-05,35026.41119200922,27154.67973679075,20400.97105891686,14632.81215231081,53.25684962005219,0,6979.421181584838,37613.13222692423,6,2,1,2023,97214.87414002763,0.38690717402716107
2023-02-12,41421.38552454706,22899.42848759735,18088.585231335288,15880.388179286922,51.54050244759363,0,6994.374800387415,41030.976532095076,7,2,1,2023,98289.78742276663,0.4174490311553077
2023-02-19,39841.6128638027,27850.916177209892,19802.707256398226,15440.006406213444,53.04233843222085,0,6974.340191185936,46470.233748580795,8,2,1,2023,102935.24270362426,0.4514511505294641
2023-02-26,36874.36455867401,28150.03739347379,16255.930715731607,15963.057728971336,52.98974092500666,0,6545.102238662733,45626.13447331129,9,2,1,2023,97243.39039685075,0.46919522537327024
2023-03-05,40530.81145466647,34099.804912042906,16803.106768022837,16830.956192599064,53.97787283542193,0,7222.148172663912,44083.04162521658,10,3,1,2023,108264.67932733128,0.40717842512546815
2023-03-12,38000.86412920608,27264.022815481763,15747.332681554359,14767.91095352035,51.89948757084827,0,7940.877315040769,47276.26024376257,11,3,1,2023,95780.13057976254,0.49359152005323753
2023-03-19,38342.301502001035,28166.451369662682,16297.58244687785,19126.287290470842,53.79497644779357,0,7653.181796704019,47177.74970842719,12,3,1,2023,101932.62260901241,0.46283268791571297
